Title,Year,Acronym
A Symbolic Analysis of Privacy for TLS 1.3 with Encrypted Client Hello,2022,CCS
LPGNet,2022,CCS
HammerScope,2022,CCS
Succinct Zero-Knowledge Batch Proofs for Set Accumulators,2022,CCS
Laconic Private Set-Intersection From Pairings,2022,CCS
pMPL: A Robust Multi-Party Learning Framework with a Privileged Party,2022,CCS
Securing Reset Operations in NISQ Quantum Computers,2022,CCS
Kryvos,2022,CCS
SPECPATCH,2022,CCS
NTRU-v-um,2022,CCS
TRACER,2022,CCS
Towards Automated Safety Vetting of Smart Contracts in Decentralized Applications,2022,CCS
"Batching, Aggregation, and Zero-Knowledge Proofs in Bilinear Accumulators",2022,CCS
CANflict,2022,CCS
Low-Latency Hardware Private Circuits,2022,CCS
NARRATOR,2022,CCS
P-Verifier,2022,CCS
Constant Latency in Sleepy Consensus,2022,CCS
Server-Aided Continuous Group Key Agreement,2022,CCS
Feature Inference Attack on Shapley Values,2022,CCS
C2C,2022,CCS
Phishing URL Detection,2022,CCS
Automatic Detection of Speculative Execution Combinations,2022,CCS
Order-Disorder,2022,CCS
"Distributed, Private, Sparse Histograms in the Two-Server Model",2022,CCS
Watch Your Back,2022,CCS
Thora,2022,CCS
SpecDoctor,2022,CCS
Auditing Membership Leakages of Multi-Exit Networks,2022,CCS
On the Success Rate of Side-Channel Attacks on Masked Implementations,2022,CCS
ENGRAFT,2022,CCS
PSI from Ring-OLE,2022,CCS
What Your Firmware Tells You Is Not How You Should Emulate It,2022,CCS
"I'm SPARTACUS, No, I'm SPARTACUS",2022,CCS
Post Quantum Noise,2022,CCS
A Scalable and Dynamic ACL System for In-Network Defense,2022,CCS
Membership Inference Attacks and Generalization,2022,CCS
SFuzz,2022,CCS
Private and Reliable Neural Network Inference,2022,CCS
Zapper,2022,CCS
Evocatio,2022,CCS
Practical Settlement Bounds for Proof-of-Work Blockchains,2022,CCS
i-TiRE,2022,CCS
RedShift,2022,CCS
MC2,2022,CCS
DangZero,2022,CCS
Fast Fully Secure Multi-Party Computation over Any Ring with Two-Thirds Honest Majority,2022,CCS
Gringotts,2022,CCS
DPIS,2022,CCS
WINK,2022,CCS
VeRSA,2022,CCS
Sharp,2022,CCS
Understanding and Mitigating Remote Code Execution Vulnerabilities in Cross-platform Ecosystem,2022,CCS
CETIS,2022,CCS
Proving UNSAT in Zero Knowledge,2022,CCS
CINI MINIS,2022,CCS
"Am I Private and If So, how Many?",2022,CCS
Shifted Inverse,2022,CCS
STAR,2022,CCS
"""Is your explanation stable?""",2022,CCS
Behind the Scenes of RPKI,2022,CCS
HeatDeCam,2022,CCS
Feta,2022,CCS
When Evil Calls,2022,CCS
Hecate,2022,CCS
Don't Kick Over the Beehive,2022,CCS
LoneNeuron: A Highly-Effective Feature-Domain Neural Trojan Using Invisible and Polymorphic Watermarks,2022,CCS
Detecting Missing-Permission-Check Vulnerabilities in Distributed Cloud Systems,2022,CCS
Threshold Cryptography as a Service (in the Multiserver and YOSO Models),2022,CCS
Physical Hijacking Attacks against Object Trackers,2022,CCS
Fast Fully Oblivious Compaction and Shuffling,2022,CCS
Microwalk-CI,2022,CCS
Cerberus,2022,CCS
Vizard,2022,CCS
When Good Becomes Evil,2022,CCS
FenceSitter,2022,CCS
How to Hide MetaData in MLS-Like Secure Group Messaging,2022,CCS
Enforcing Fine-grained Constant-time Policies,2022,CCS
DISTINCT,2022,CCS
"The Closer You Look, The More You Learn",2022,CCS
Detecting and Measuring Misconfigured Manifests in Android Apps,2022,CCS
Ibex,2022,CCS
Widespread Underestimation of Sensitivity in Differentially Private Libraries and How to Fix It,2022,CCS
Cerberus,2022,CCS
PalanTír,2022,CCS
A Run a Day Won't Keep the Hacker Away,2022,CCS
Succinct Zero Knowledge for Floating Point Computations,2022,CCS
HyperDbg: Reinventing Hardware-Assisted Debugging,2022,CCS
Finding MNEMON,2022,CCS
Do Opt-Outs Really Opt Me Out?,2022,CCS
Poster,2022,CCS
Selective MPC,2022,CCS
Blacktooth,2022,CCS
Perils and Mitigation of Security Risks of Cooperation in Mobile-as-a-Gateway IoT,2022,CCS
Uncovering Intent based Leak of Sensitive Data in Android Framework,2022,CCS
Matproofs,2022,CCS
Secret-Shared Joins with Multiplicity from Aggregation Trees,2022,CCS
Identifying a Training-Set Attack's Target Using Renormalized Influence Estimation,2022,CCS
Escaping the Confines of Time,2022,CCS
Efficient Zero-Knowledge Proofs on Signed Data with Applications to Verifiable Computation on Data Streams,2022,CCS
NFGen,2022,CCS
Cerberus,2022,CCS
Two-Client Inner-Product Functional Encryption with an Application to Money-Laundering Detection,2022,CCS
Tidy: Symbolic Verification of Timed Cryptographic Protocols,2022,CCS
MetaEmu,2022,CCS
Poster,2022,CCS
PentaGOD,2022,CCS
Strengthening Order Preserving Encryption with Differential Privacy,2022,CCS
Second-Order Low-Randomness d + 1 Hardware Sharing of the AES,2022,CCS
NeVerMore,2022,CCS
QuerySnout,2022,CCS
FeIDo,2022,CCS
An Extensive Study of Residential Proxies in China,2022,CCS
Perception-Aware Attack,2022,CCS
Privacy Limitations of Interest-based Advertising on The Web,2022,CCS
Hammurabi,2022,CCS
"The Multi-User Security of Triple Encryption, Revisited",2022,CCS
Secure Parallel Computation on Privately Partitioned Data and Applications,2022,CCS
Helping or Hindering?,2022,CCS
Leakage and Tamper Resilient Permutation-Based Cryptography,2022,CCS
Post-breach Recovery,2022,CCS
Cache Refinement Type for Side-Channel Detection of Cryptographic Software,2022,CCS
Updatable Public Key Encryption from DCR,2022,CCS
Proof-of-Possession for KEM Certificates using Verifiable Generation,2022,CCS
Location Heartbleeding,2022,CCS
Understanding the How and the Why,2022,CCS
Poirot,2022,CCS
Poster,2022,CCS
Frequency Estimation in the Shuffle Model with Almost a Single Message,2022,CCS
Characterizing and Detecting Non-Consensual Photo Sharing on Social Networks,2022,CCS
Power Contracts,2022,CCS
Themis,2022,CCS
On the Privacy Risks of Cell-Based NAS Architectures,2022,CCS
TickTock: Detecting Microphone Status in Laptops Leveraging Electromagnetic Leakage of Clock Signals,2022,CCS
Adversarial Correctness and Privacy for Probabilistic Data Structures,2022,CCS
Automatic Detection of Fake Key Attacks in Secure Messaging,2022,CCS
Victory by KO,2022,CCS
Poster,2022,CCS
A Wolf in Sheep's Clothing,2022,CCS
VOProof,2022,CCS
Poster,2022,CCS
InviCloak,2022,CCS
Demo,2022,CCS
Designing Hardware for Cryptography and Cryptography for Hardware,2022,CCS
Poster,2022,CCS
"We Are the Experts, and We Are the Problem",2022,CCS
Collect Responsibly But Deliver Arbitrarily?,2022,CCS
Poster,2022,CCS
Poster,2022,CCS
Hidden in Plain Sight,2022,CCS
Minotaur,2022,CCS
Poster,2022,CCS
Poster,2022,CCS
Microarchitectural Leakage Templates and Their Application to Cache-Based Side Channels,2022,CCS
Poster,2022,CCS
Protecting Critical Inter-Domain Communication through Flyover Reservations,2022,CCS
Poster,2022,CCS
Poster,2022,CCS
Poster,2022,CCS
Poster,2022,CCS
Acquirer,2022,CCS
Poster,2022,CCS
Poster,2022,CCS
Poster,2022,CCS
Overo,2022,CCS
Poster,2022,CCS
Poster,2022,CCS
Poster,2022,CCS
Poster,2022,CCS
Poster,2022,CCS
Poster,2022,CCS
Poster,2022,CCS
Poster CTI4AI,2022,CCS
Poster Towards Authorship Obfuscation with Language Models,2022,CCS
SCORED '22,2022,CCS
Non-Distinguishable Inconsistencies as a Deterministic Oracle for Detecting Security Bugs,2022,CCS
Poster AutoPatch,2022,CCS
Ready Raider One,2022,CCS
Poster,2022,CCS
Poster,2022,CCS
Poster,2022,CCS
Sustainability is a Security Problem,2022,CCS
Watch Out for Race Condition Attacks When Using Android External Storage,2022,CCS
Poster,2022,CCS
Demo --- SPoKE,2022,CCS
CPSIoTSec '22: 4th Workshop on CPS &amp; IoT Security and Privacy,2022,CCS
Poster MPClan:,2022,CCS
Poster,2022,CCS
Poster,2022,CCS
Poster,2022,CCS
Poster,2022,CCS
Poster,2022,CCS
Poster,2022,CCS
Cart-ology: Intercepting Targeted Advertising via Ad Network Identity Entanglement,2022,CCS
Poster EveGAN,2022,CCS
Secure Auctions in the Presence of Rational Adversaries,2022,CCS
Poster,2022,CCS
ConsensusDay '22,2022,CCS
WAHC'22,2022,CCS
Demo -- MaLFraDA,2022,CCS
WPES '22,2022,CCS
MTD '22,2022,CCS
Demo,2022,CCS
Checkmate '22,2022,CCS
Poster,2022,CCS
Poster,2022,CCS
CCSW '22,2022,CCS
Poster,2022,CCS
Poster,2022,CCS
Poster,2022,CCS
ASHES 2022 -- 6th Workshop on Attacks and Solutions in Hardware Security,2022,CCS
DeFi '22,2022,CCS
Poster,2022,CCS
Poster,2022,CCS
AISec '22,2022,CCS
AMSec'22,2022,CCS
Poster,2022,CCS
Guidelines for conducting and reporting case study research in software engineering,2008,ESE
Supporting Controlled Experimentation with Testing Techniques: An Infrastructure and its Potential Impact,2005,ESE
On the relative value of cross-company and within-company data for defect prediction,2009,ESE
What are developers talking about? An analysis of topics and trends in Stack Overflow,2012,ESE
Evaluating defect prediction approaches: a benchmark and an extensive comparison,2011,ESE
Studying Software Engineers: Data Collection Techniques for Software Field Studies,2005,ESE
Comparing and experimenting machine learning techniques for code smell detection,2015,ESE
An exploratory study of the impact of antipatterns on class change- and fault-proneness,2011,ESE
Parameter tuning or default values? An empirical investigation in search-based software engineering,2013,ESE
“Cloning considered harmful’considered harmful: patterns of cloning in software,2008,ESE
A field study of API learning obstacles,2010,ESE
Sampling in software engineering research: a critical review and guidelines,2022,ESE
Empirical evidence in global software engineering: a systematic review,2009,ESE
The impact of agile practices on communication in software development,2008,ESE
Curating GitHub for engineered software projects,2017,ESE
Software defect prediction using Bayesian networks,2012,ESE
Do developers update their library dependencies?,2017,ESE
The role of replications in Empirical Software Engineering,2008,ESE
An empirical study of the impact of modern code review practices on software quality,2015,ESE
What are mobile developers asking about? A large scale study using stack overflow,2015,ESE
On the diffuseness and the impact on maintainability of code smells: a large scale empirical investigation,2017,ESE
A method for evaluating rigor and industrial relevance of technology evaluations,2010,ESE
Deep code comment generation with hybrid lexical and syntactical information,2019,ESE
Techniques for evaluating fault prediction models,2008,ESE
An in-depth study of the promises and perils of mining GitHub,2015,ESE
Naming the pain in requirements engineering,2016,ESE
Automatic repair of real bugs in java: a large-scale experiment on the defects4j dataset,2016,ESE
A practical guide to controlled experiments of software engineering tools with human participants,2013,ESE
Evaluating improvements to a meta-heuristic search for constrained interaction testing,2010,ESE
Robust Statistical Methods for Empirical Software Engineering,2016,ESE
Reviewing 25 Years of Testing Technique Experiments,2004,ESE
Empirical software engineering experts on the use of students and professionals in experiments,2017,ESE
Using grounded theory to study the experience of software development,2011,ESE
Toward an understanding of bug fix patterns,2008,ESE
An exploratory study of smart contracts in the Ethereum blockchain platform,2020,ESE
Bug characteristics in open source software,2013,ESE
Pandemic programming,2020,ESE
Studying just-in-time defect prediction using cross-project models,2015,ESE
Developing a grounded theory to explain the practices of self-organizing Agile teams,2011,ESE
Exploring software development at the very large-scale: a revelatory case study and research agenda for agile method adaptation,2017,ESE
Testing machine learning based systems: a systematic mapping,2020,ESE
